순번,설치위치,X 좌표(경도),Y 좌표(위도)
1,금호동 장미연립아파트 12동,127.7330956,34.94236656
2,금호동 매화아파트 10동,127.7204924,34.93655524
3,금호동 목련빌라 35동,127.7291436,34.9396315
4,금호동 백합아파트 26동,127.7223811,34.9335342
5,금호동 동백아파트 7동,127.7309944,34.93602502
6,금호동 장미아파트 21동,127.7338783,34.93921738
7,금호동 목련빌라 16동,127.7282506,34.94097909
8,금호동 백합아파트 44동,127.7194677,34.93290706
9,금호동 목련연립아파트 22동,127.7324599,34.93754456
10,금호동 초원아파트 10동,127.7194623,34.93852753
11,금호동 백합아파트 10동,127.7244968,34.9350218
12,금호동 사랑아파트 8동,127.7175193,34.93470094
13,광양읍 광양 송보파인빌 6차아파트 603동,127.6922824,34.95592711
14,광양읍 성호아파트 상가동(109동),127.6966908,34.93370959
15,광양읍 동광아파트 상가2동,127.6933109,34.94218167
16,광양읍 광양중마 우림필유 아파트 106동,127.7078526,34.94001013
17,광양읍 금광1차아파트 유치원동,127.6902377,34.93456231
18,광양읍 청솔빌라  ,127.6971091,34.94828507
19,광양읍 중마2주공아파트 104동,127.6856252,34.94573971
20,광양읍 중동아파트 109동,127.7002731,34.94300438
21,광양읍 광양써니밸리아파트 102동,127.6877653,34.95115373
22,광양읍 광양시중마지구호반리젠시빌 105동,127.6929573,34.93711314
23,광양읍 덕진 광양의 봄 프리미엄 아파트(2단지) 202동,127.7013002,34.95167614
24,광양읍 무등파크맨션 101동,127.6899086,34.94467127
25,광양읍 시영아파트 상가동,127.6861645,34.94154739
26,광양읍 성호2차아파트 213동,127.6920539,34.93199682
27,광양읍 금광블루빌아파트 104동,127.6879922,34.95568112
28,광양읍 e편한세상 광양 102동,127.6985995,34.9393671
29,광양읍 중마 노르웨이숲 104동,127.6946846,34.95206117
30,광양읍 광양중마2차진아리채 상가동,127.6871523,34.93822014
31,광양읍 광양 송보파인빌 5차아파트 505동,127.68997,34.95287419
32,중마동 창덕에버빌  (2단지) 205동,127.6099307,34.97346312
33,중마동 화진그린맨션  ,127.5822469,34.97179645
34,중마동 영신 그린빌 상가동,127.5720108,34.96278877
35,중마동 시엘2차 202동,127.5902435,34.98184035
36,중마동 대림아파트 103동,127.5638923,34.96899313
37,중마동 덕진광양의봄아파트 101동,127.5749967,34.97618477
38,중마동 월파로하스빌 104동,127.5987149,34.9919008
39,중마동 칠성아파트 114동,127.5829706,34.98258291
40,중마동 수시아아파트 106동,127.5690096,34.96900995
41,중마동 광양 송보파인빌7차 701동,127.6115809,34.96876834
42,중마동 서광빌라  ,127.5918855,34.97748199
43,중마동 호남빌라주택  ,127.5832883,34.96824773
44,중마동 매화마을 주공아파트 105동,127.5786213,34.98359988
45,중마동 오성타워맨션 상가동,127.5770011,34.9651388
46,중마동 칠성그린빌라  ,127.5881354,34.97815472
47,중마동 삼보그린맨션아파트 제1동,127.5836244,34.97966446
48,광영동 광양광영사랑으로부영2차 202동,127.7274232,34.96065521
49,광영동 가야아파트 상가동,127.7145075,34.96582487
50,광영동 현대저층아파트 6동,127.7192766,34.96613189
