행정구역(시군)별(1),시점,세대수 (세대),등록인구 (명),세대당인구 (명),65세이상 고령자 (명),인구밀도 (명/㎢),면적 (㎢)
광양시,2002 ,43842 ,138162 ,3.20 ,10147 ,309.30 ,447.00 
광양시,2003 ,44373 ,136753 ,3.10 ,10579 ,305.80 ,447.00 
광양시,2004 ,45541 ,138142 ,3.00 ,11094 ,308.20 ,448.18 
광양시,2005 ,46742 ,138730 ,3.00 ,11545 ,308.80 ,449.29 
광양시,2006 ,47707 ,139020 ,2.90 ,12025 ,308.90 ,450.06 
광양시,2007 ,48665 ,139735 ,2.90 ,12621 ,309.40 ,451.67 
광양시,2008 ,50344 ,142399 ,2.80 ,13033 ,314.10 ,453.34 
광양시,2009 ,51840 ,144628 ,2.80 ,13344 ,318.70 ,453.84 
광양시,2010 ,53423 ,146679 ,2.70 ,13614 ,321.40 ,456.35 
광양시,2011 ,56442 ,152167 ,2.70 ,14014 ,333.50 ,456.34 
광양시,2012 ,57026 ,152224 ,2.70 ,14549 ,331.70 ,458.89 
광양시,2013 ,57707 ,152995 ,2.70 ,15074 ,332.60 ,460.06 
광양시,2014 ,58698 ,153670 ,2.60 ,15657 ,334.00 ,460.11 
광양시,2015 ,59789 ,155117 ,2.60 ,16369 ,336.00 ,462.25 
광양시,2016 ,61487 ,157177 ,2.50 ,17026 ,339.00 ,463.14 
광양시,2017 ,62790 ,157403 ,2.50 ,17712 ,339.90 ,463.12 
광양시,2018 ,64186 ,158162 ,2.50 ,18319 ,341.50 ,463.12 
광양시,2019 ,65725 ,158437 ,2.40 ,19300 ,342.10 ,463.09 
