행정구역(읍면동)별,시점,면적 (㎢)
광양읍,2010 ,52.42
광양읍,2011 ,52.42
광양읍,2012 ,54.47
광양읍,2013 ,54.82
광양읍,2014 ,54.85
광양읍,2015 ,54.86
광양읍,2016 ,55.3
광양읍,2017 ,55.3
광양읍,2018 ,55.28
광양읍,2019 ,55.29
봉강면,2010 ,55.58
봉강면,2011 ,55.58
봉강면,2012 ,55.59
봉강면,2013 ,55.59
봉강면,2014 ,55.59
봉강면,2015 ,55.59
봉강면,2016 ,55.6
봉강면,2017 ,55.6
봉강면,2018 ,55.59
봉강면,2019 ,55.6
옥룡면,2010 ,66.27
옥룡면,2011 ,66.26
옥룡면,2012 ,66.29
옥룡면,2013 ,66.29
옥룡면,2014 ,66.29
옥룡면,2015 ,66.29
옥룡면,2016 ,66.29
옥룡면,2017 ,66.27
옥룡면,2018 ,66.26
옥룡면,2019 ,66.26
옥곡면,2010 ,40.29
옥곡면,2011 ,40.29
옥곡면,2012 ,40.3
옥곡면,2013 ,40.3
옥곡면,2014 ,40.3
옥곡면,2015 ,40.31
옥곡면,2016 ,40.31
옥곡면,2017 ,40.3
옥곡면,2018 ,40.3
옥곡면,2019 ,40.31
진상면,2010 ,65.47
진상면,2011 ,65.47
진상면,2012 ,65.5
진상면,2013 ,65.49
진상면,2014 ,65.49
진상면,2015 ,65.49
진상면,2016 ,65.49
진상면,2017 ,65.48
진상면,2018 ,65.48
진상면,2019 ,65.48
진월면,2010 ,37.14
진월면,2011 ,37.14
진월면,2012 ,37.16
진월면,2013 ,37.16
진월면,2014 ,37.16
진월면,2015 ,37.16
진월면,2016 ,37.16
진월면,2017 ,37.16
진월면,2018 ,37.15
진월면,2019 ,37.16
다압면,2010 ,63.62
다압면,2011 ,63.62
다압면,2012 ,63.63
다압면,2013 ,63.63
다압면,2014 ,63.63
다압면,2015 ,63.62
다압면,2016 ,63.62
다압면,2017 ,63.62
다압면,2018 ,63.62
다압면,2019 ,63.62
골약동,2010 ,36.29
골약동,2011 ,36.27
골약동,2012 ,36.29
골약동,2013 ,36.28
골약동,2014 ,36.28
골약동,2015 ,38.18
골약동,2016 ,38.18
골약동,2017 ,38.18
골약동,2018 ,38.15
골약동,2019 ,38.18
중마동,2010 ,9.98
중마동,2011 ,9.98
중마동,2012 ,9.98
중마동,2013 ,9.98
중마동,2014 ,9.98
중마동,2015 ,10.18
중마동,2016 ,10.18
중마동,2017 ,10.18
중마동,2018 ,10.17
중마동,2019 ,10.18
광영동,2010 ,3.25
광영동,2011 ,3.25
광영동,2012 ,3.25
광영동,2013 ,3.25
광영동,2014 ,3.25
광영동,2015 ,3.25
광영동,2016 ,3.25
광영동,2017 ,3.25
광영동,2018 ,3.25
광영동,2019 ,3.25
태인동,2010 ,6.1
태인동,2011 ,6.11
태인동,2012 ,6.11
태인동,2013 ,6.11
태인동,2014 ,6.12
태인동,2015 ,6.12
태인동,2016 ,6.14
태인동,2017 ,6.14
태인동,2018 ,6.14
태인동,2019 ,6.14
금호동,2010 ,19.94
금호동,2011 ,19.94
금호동,2012 ,20.34
금호동,2013 ,21.17
금호동,2014 ,21.18
금호동,2015 ,21.21
금호동,2016 ,21.63
금호동,2017 ,21.63
금호동,2018 ,21.62
금호동,2019 ,21.63
